RAOPeriodOrFreq,RAOSurgeAmp,RAOSurgePhase,RAOSwayAmp,RAOSwayPhase,RAOHeaveAmp,RAOHeavePhase,RAORollAmp,RAORollPhase,RAOPitchAmp,RAOPitchPhase,RAOYawAmp,RAOYawPhase,dir
62.832,6.79,-90.272,0.0,-59.966,0.97,-0.016,0.0,-100.016,0.404,92.11,0.0,-27.672,-180.0
42.032,4.369,-90.422,0.0,-49.356,0.934,-0.007,0.0,-111.003,0.593,93.188,0.0,-21.046,-180.0
31.578,3.104,-90.55,0.0,-48.167,0.881,0.017,0.0,-118.491,0.77,94.319,0.0,-16.181,-180.0
25.289,2.307,-90.61,0.0,-42.565,0.811,-0.054,0.0,-112.618,0.931,95.554,0.0,-14.701,-180.0
21.088,1.744,-90.51,0.0,-34.878,0.724,-0.515,0.0,-107.554,1.071,96.965,0.0,-15.739,-180.0
18.085,1.316,-90.138,0.0,-27.958,0.623,-1.964,0.0,-82.879,1.183,98.666,0.0,-18.583,-180.0
15.83,0.971,-89.402,0.0,-21.75,0.515,-5.308,0.0,35.969,1.258,100.778,0.0,-21.702,-180.0
14.075,0.683,-88.323,0.0,-16.054,0.411,-11.726,0.0,76.409,1.283,103.345,0.0,-27.477,-180.0
12.671,0.441,-87.216,0.0,-10.365,0.324,-22.413,0.0,92.381,1.243,106.233,0.0,-31.717,-180.0
11.521,0.242,-87.04,0.0,-13.778,0.261,-37.979,0.0,118.811,1.129,108.869,0.0,-35.068,-180.0
10.562,0.092,-91.273,0.0,-51.27,0.225,-57.296,0.001,176.187,0.947,110.088,0.0,-36.271,-180.0
9.751,0.017,142.691,0.0,-27.323,0.212,-76.729,0.001,-123.168,0.726,107.913,0.0,-45.391,-180.0
9.049,0.072,101.639,0.0,-18.87,0.211,-92.736,0.001,-98.575,0.508,98.502,0.0,-54.839,-180.0
8.323,0.097,89.628,0.0,-25.621,0.199,-106.837,0.0,-81.793,0.343,70.702,0.0,-66.632,-180.0
7.759,0.092,74.0,0.0,-66.109,0.167,-118.67,0.0,-71.083,0.315,41.578,0.0,-78.731,-180.0
7.305,0.08,52.631,0.0,-123.102,0.127,-134.476,0.0,-64.713,0.303,24.21,0.0,-93.285,-180.0
6.931,0.07,27.677,0.0,-146.173,0.095,-158.033,0.0,-63.565,0.262,10.901,0.0,-108.793,-180.0
6.614,0.063,1.346,0.0,-158.078,0.08,173.896,0.0,-75.667,0.203,-4.426,0.0,-125.637,-180.0
6.342,0.058,-25.545,0.0,-166.205,0.073,148.738,0.0,-135.289,0.148,-26.052,0.0,-148.01,-180.0
6.105,0.055,-52.166,0.0,-172.829,0.067,127.794,0.0,174.547,0.114,-56.309,0.0,174.791,-180.0
5.894,0.053,-77.556,0.0,-178.522,0.058,108.068,0.0,161.197,0.104,-88.658,0.0,132.619,-180.0
5.706,0.051,-101.501,0.0,175.873,0.047,86.091,0.0,155.974,0.104,-114.323,0.0,108.907,-180.0
5.535,0.048,-124.393,0.0,164.853,0.038,59.301,0.0,152.901,0.099,-134.181,0.0,97.095,-180.0
